rank,raw_feature,mean_importance,std_importance,mean_rank,top_3_frequency
1,OverTime,0.07701844080917869,0.008051866165000148,1.2,1.0
2,MonthlyIncome,0.07011711071428973,0.004260076307331424,1.82,1.0
3,Age,0.057190330007856824,0.003727335104075207,3.08,0.92
4,DailyRate,0.04915960960939648,0.002159628674283545,4.34,0.06
5,TotalWorkingYears,0.04700578228310654,0.00301388987967589,5.34,0.02
6,MonthlyRate,0.04382493036444375,0.0015613419672591855,7.12,0.0
7,YearsAtCompany,0.043773202706695366,0.0031126520192548287,7.36,0.0
8,JobRole,0.04366794176879492,0.001975226089336031,7.34,0.0
9,HourlyRate,0.04279211830936705,0.001517315447151078,8.08,0.0
10,DistanceFromHome,0.040001540536565176,0.002436710969627675,9.74,0.0
11,StockOptionLevel,0.03388910437172656,0.0044568801208655535,12.8,0.0
12,YearsWithCurrManager,0.03366595213652038,0.003094137158430423,12.58,0.0
13,MaritalStatus,0.03171719705959439,0.002898744452951804,14.3,0.0
14,PercentSalaryHike,0.03055695627839416,0.0015158888619631234,14.94,0.0
15,YearsInCurrentRole,0.030551020192619883,0.0020175540762261404,15.02,0.0
16,NumCompaniesWorked,0.030166525522171483,0.002151950550063394,15.56,0.0
17,EducationField,0.0299927436730727,0.0016969343510157408,15.72,0.0
18,JobLevel,0.027594777423311984,0.003309861647613633,18.0,0.0
19,JobSatisfaction,0.027519971277681087,0.0020828179171765476,18.02,0.0
20,EnvironmentSatisfaction,0.02734558124474001,0.0029710679806156533,18.14,0.0
21,YearsSinceLastPromotion,0.022892997103867795,0.0014292891534374854,21.66,0.0
22,TrainingTimesLastYear,0.022155654541790866,0.0012165082830413643,22.52,0.0
23,BusinessTravel,0.021824506683815387,0.0021960101441971243,22.96,0.0
24,RelationshipSatisfaction,0.021208127803455636,0.001298843150674782,23.62,0.0
25,JobInvolvement,0.01960871524877154,0.0017520230811962302,25.54,0.0
26,WorkLifeBalance,0.019092117708308234,0.002122384510252851,25.94,0.0
27,Department,0.018856572531688976,0.001537893993058421,26.3,0.0
28,Education,0.018139498269909383,0.000893013600846555,26.98,0.0
29,Gender,0.014546966199918214,0.0011467906976135264,28.98,0.0
30,PerformanceRating,0.004124007618946788,0.0003146666454676834,30.0,0.0
